"","nhood_month_year","count","year","nhood"
"1","2011 Bayview Hunters Point",30,"2011","Bayview Hunters Point"
"2","2011 Bernal Heights",14,"2011","Bernal Heights"
"3","2011 Castro/Upper Market",11,"2011","Castro/Upper Market"
"4","2011 Chinatown",5,"2011","Chinatown"
"5","2011 Excelsior",15,"2011","Excelsior"
"6","2011 Financial District/South Beach",2,"2011","Financial District/South Beach"
"7","2011 Glen Park",6,"2011","Glen Park"
"8","2011 Golden Gate Park",2,"2011","Golden Gate Park"
"9","2011 Haight Ashbury",21,"2011","Haight Ashbury"
"10","2011 Hayes Valley",12,"2011","Hayes Valley"
"11","2011 Inner Richmond",5,"2011","Inner Richmond"
"12","2011 Inner Sunset",25,"2011","Inner Sunset"
"13","2011 Japantown",2,"2011","Japantown"
"14","2011 Lakeshore",89,"2011","Lakeshore"
"15","2011 Lone Mountain/USF",9,"2011","Lone Mountain/USF"
"16","2011 Marina",14,"2011","Marina"
"17","2011 Mission",45,"2011","Mission"
"18","2011 Mission Bay",5,"2011","Mission Bay"
"19","2011 Nob Hill",21,"2011","Nob Hill"
"20","2011 Noe Valley",21,"2011","Noe Valley"
"21","2011 North Beach",6,"2011","North Beach"
"22","2011 Oceanview/Merced/Ingleside",14,"2011","Oceanview/Merced/Ingleside"
"23","2011 Outer Mission",18,"2011","Outer Mission"
"24","2011 Outer Richmond",8,"2011","Outer Richmond"
"25","2011 Pacific Heights",12,"2011","Pacific Heights"
"26","2011 Portola",8,"2011","Portola"
"27","2011 Potrero Hill",6,"2011","Potrero Hill"
"28","2011 Presidio Heights",3,"2011","Presidio Heights"
"29","2011 Russian Hill",11,"2011","Russian Hill"
"30","2011 Seacliff",3,"2011","Seacliff"
"31","2011 South of Market",25,"2011","South of Market"
"32","2011 Sunset/Parkside",33,"2011","Sunset/Parkside"
"33","2011 Tenderloin",14,"2011","Tenderloin"
"34","2011 Twin Peaks",10,"2011","Twin Peaks"
"35","2011 Visitacion Valley",5,"2011","Visitacion Valley"
"36","2011 West of Twin Peaks",11,"2011","West of Twin Peaks"
"37","2011 Western Addition",11,"2011","Western Addition"
"38","2012 Bayview Hunters Point",35,"2012","Bayview Hunters Point"
"39","2012 Bernal Heights",16,"2012","Bernal Heights"
"40","2012 Castro/Upper Market",13,"2012","Castro/Upper Market"
"41","2012 Chinatown",5,"2012","Chinatown"
"42","2012 Excelsior",22,"2012","Excelsior"
"43","2012 Financial District/South Beach",2,"2012","Financial District/South Beach"
"44","2012 Glen Park",4,"2012","Glen Park"
"45","2012 Golden Gate Park",4,"2012","Golden Gate Park"
"46","2012 Haight Ashbury",29,"2012","Haight Ashbury"
"47","2012 Hayes Valley",14,"2012","Hayes Valley"
"48","2012 Inner Richmond",5,"2012","Inner Richmond"
"49","2012 Inner Sunset",22,"2012","Inner Sunset"
"50","2012 Japantown",3,"2012","Japantown"
"51","2012 Lakeshore",2,"2012","Lakeshore"
"52","2012 Lone Mountain/USF",19,"2012","Lone Mountain/USF"
"53","2012 Marina",22,"2012","Marina"
"54","2012 Mission",48,"2012","Mission"
"55","2012 Mission Bay",2,"2012","Mission Bay"
"56","2012 Nob Hill",35,"2012","Nob Hill"
"57","2012 Noe Valley",12,"2012","Noe Valley"
"58","2012 North Beach",18,"2012","North Beach"
"59","2012 Oceanview/Merced/Ingleside",11,"2012","Oceanview/Merced/Ingleside"
"60","2012 Outer Mission",13,"2012","Outer Mission"
"61","2012 Outer Richmond",8,"2012","Outer Richmond"
"62","2012 Pacific Heights",21,"2012","Pacific Heights"
"63","2012 Portola",11,"2012","Portola"
"64","2012 Potrero Hill",8,"2012","Potrero Hill"
"65","2012 Presidio Heights",3,"2012","Presidio Heights"
"66","2012 Russian Hill",24,"2012","Russian Hill"
"67","2012 South of Market",24,"2012","South of Market"
"68","2012 Sunset/Parkside",63,"2012","Sunset/Parkside"
"69","2012 Tenderloin",13,"2012","Tenderloin"
"70","2012 Twin Peaks",4,"2012","Twin Peaks"
"71","2012 Visitacion Valley",8,"2012","Visitacion Valley"
"72","2012 West of Twin Peaks",13,"2012","West of Twin Peaks"
"73","2012 Western Addition",22,"2012","Western Addition"
"74","2013 Bayview Hunters Point",33,"2013","Bayview Hunters Point"
"75","2013 Bernal Heights",27,"2013","Bernal Heights"
"76","2013 Castro/Upper Market",33,"2013","Castro/Upper Market"
"77","2013 Chinatown",4,"2013","Chinatown"
"78","2013 Excelsior",27,"2013","Excelsior"
"79","2013 Financial District/South Beach",6,"2013","Financial District/South Beach"
"80","2013 Glen Park",5,"2013","Glen Park"
"81","2013 Golden Gate Park",1,"2013","Golden Gate Park"
"82","2013 Haight Ashbury",26,"2013","Haight Ashbury"
"83","2013 Hayes Valley",13,"2013","Hayes Valley"
"84","2013 Inner Richmond",13,"2013","Inner Richmond"
"85","2013 Inner Sunset",30,"2013","Inner Sunset"
"86","2013 Japantown",2,"2013","Japantown"
"87","2013 Lakeshore",52,"2013","Lakeshore"
"88","2013 Lone Mountain/USF",20,"2013","Lone Mountain/USF"
"89","2013 Marina",31,"2013","Marina"
"90","2013 Mission",61,"2013","Mission"
"91","2013 Nob Hill",32,"2013","Nob Hill"
"92","2013 Noe Valley",9,"2013","Noe Valley"
"93","2013 North Beach",22,"2013","North Beach"
"94","2013 Oceanview/Merced/Ingleside",20,"2013","Oceanview/Merced/Ingleside"
"95","2013 Outer Mission",15,"2013","Outer Mission"
"96","2013 Outer Richmond",11,"2013","Outer Richmond"
"97","2013 Pacific Heights",33,"2013","Pacific Heights"
"98","2013 Portola",3,"2013","Portola"
"99","2013 Potrero Hill",7,"2013","Potrero Hill"
"100","2013 Presidio Heights",3,"2013","Presidio Heights"
"101","2013 Russian Hill",19,"2013","Russian Hill"
"102","2013 South of Market",36,"2013","South of Market"
"103","2013 Sunset/Parkside",39,"2013","Sunset/Parkside"
"104","2013 Tenderloin",27,"2013","Tenderloin"
"105","2013 Twin Peaks",7,"2013","Twin Peaks"
"106","2013 Visitacion Valley",10,"2013","Visitacion Valley"
"107","2013 West of Twin Peaks",21,"2013","West of Twin Peaks"
"108","2013 Western Addition",20,"2013","Western Addition"
"109","2014 Bayview Hunters Point",47,"2014","Bayview Hunters Point"
"110","2014 Bernal Heights",30,"2014","Bernal Heights"
"111","2014 Castro/Upper Market",45,"2014","Castro/Upper Market"
"112","2014 Chinatown",7,"2014","Chinatown"
"113","2014 Excelsior",29,"2014","Excelsior"
"114","2014 Glen Park",5,"2014","Glen Park"
"115","2014 Golden Gate Park",3,"2014","Golden Gate Park"
"116","2014 Haight Ashbury",19,"2014","Haight Ashbury"
"117","2014 Hayes Valley",22,"2014","Hayes Valley"
"118","2014 Inner Richmond",7,"2014","Inner Richmond"
"119","2014 Inner Sunset",28,"2014","Inner Sunset"
"120","2014 Japantown",7,"2014","Japantown"
"121","2014 Lakeshore",39,"2014","Lakeshore"
"122","2014 Lincoln Park",1,"2014","Lincoln Park"
"123","2014 Lone Mountain/USF",16,"2014","Lone Mountain/USF"
"124","2014 Marina",25,"2014","Marina"
"125","2014 Mission",56,"2014","Mission"
"126","2014 Mission Bay",1,"2014","Mission Bay"
"127","2014 Nob Hill",50,"2014","Nob Hill"
"128","2014 Noe Valley",21,"2014","Noe Valley"
"129","2014 North Beach",18,"2014","North Beach"
"130","2014 Oceanview/Merced/Ingleside",25,"2014","Oceanview/Merced/Ingleside"
"131","2014 Outer Mission",30,"2014","Outer Mission"
"132","2014 Outer Richmond",12,"2014","Outer Richmond"
"133","2014 Pacific Heights",29,"2014","Pacific Heights"
"134","2014 Portola",8,"2014","Portola"
"135","2014 Potrero Hill",11,"2014","Potrero Hill"
"136","2014 Presidio Heights",5,"2014","Presidio Heights"
"137","2014 Russian Hill",34,"2014","Russian Hill"
"138","2014 Seacliff",4,"2014","Seacliff"
"139","2014 South of Market",51,"2014","South of Market"
"140","2014 Sunset/Parkside",61,"2014","Sunset/Parkside"
"141","2014 Tenderloin",31,"2014","Tenderloin"
"142","2014 Twin Peaks",4,"2014","Twin Peaks"
"143","2014 Visitacion Valley",13,"2014","Visitacion Valley"
"144","2014 West of Twin Peaks",15,"2014","West of Twin Peaks"
"145","2014 Western Addition",30,"2014","Western Addition"
"146","2015 Bayview Hunters Point",58,"2015","Bayview Hunters Point"
"147","2015 Bernal Heights",33,"2015","Bernal Heights"
"148","2015 Castro/Upper Market",38,"2015","Castro/Upper Market"
"149","2015 Chinatown",10,"2015","Chinatown"
"150","2015 Excelsior",40,"2015","Excelsior"
"151","2015 Financial District/South Beach",2,"2015","Financial District/South Beach"
"152","2015 Glen Park",1,"2015","Glen Park"
"153","2015 Golden Gate Park",2,"2015","Golden Gate Park"
"154","2015 Haight Ashbury",30,"2015","Haight Ashbury"
"155","2015 Hayes Valley",21,"2015","Hayes Valley"
"156","2015 Inner Richmond",11,"2015","Inner Richmond"
"157","2015 Inner Sunset",39,"2015","Inner Sunset"
"158","2015 Japantown",5,"2015","Japantown"
"159","2015 Lakeshore",38,"2015","Lakeshore"
"160","2015 Lone Mountain/USF",28,"2015","Lone Mountain/USF"
"161","2015 Marina",30,"2015","Marina"
"162","2015 Mission",65,"2015","Mission"
"163","2015 Mission Bay",1,"2015","Mission Bay"
"164","2015 Nob Hill",36,"2015","Nob Hill"
"165","2015 Noe Valley",21,"2015","Noe Valley"
"166","2015 North Beach",23,"2015","North Beach"
"167","2015 Oceanview/Merced/Ingleside",29,"2015","Oceanview/Merced/Ingleside"
"168","2015 Outer Mission",32,"2015","Outer Mission"
"169","2015 Outer Richmond",27,"2015","Outer Richmond"
"170","2015 Pacific Heights",23,"2015","Pacific Heights"
"171","2015 Portola",13,"2015","Portola"
"172","2015 Potrero Hill",14,"2015","Potrero Hill"
"173","2015 Presidio Heights",6,"2015","Presidio Heights"
"174","2015 Russian Hill",33,"2015","Russian Hill"
"175","2015 Seacliff",3,"2015","Seacliff"
"176","2015 South of Market",23,"2015","South of Market"
"177","2015 Sunset/Parkside",74,"2015","Sunset/Parkside"
"178","2015 Tenderloin",63,"2015","Tenderloin"
"179","2015 Twin Peaks",5,"2015","Twin Peaks"
"180","2015 Visitacion Valley",17,"2015","Visitacion Valley"
"181","2015 West of Twin Peaks",13,"2015","West of Twin Peaks"
"182","2015 Western Addition",28,"2015","Western Addition"
"183","2016 Bayview Hunters Point",62,"2016","Bayview Hunters Point"
"184","2016 Bernal Heights",24,"2016","Bernal Heights"
"185","2016 Castro/Upper Market",22,"2016","Castro/Upper Market"
"186","2016 Chinatown",7,"2016","Chinatown"
"187","2016 Excelsior",40,"2016","Excelsior"
"188","2016 Financial District/South Beach",2,"2016","Financial District/South Beach"
"189","2016 Glen Park",8,"2016","Glen Park"
"190","2016 Golden Gate Park",1,"2016","Golden Gate Park"
"191","2016 Haight Ashbury",21,"2016","Haight Ashbury"
"192","2016 Hayes Valley",24,"2016","Hayes Valley"
"193","2016 Inner Richmond",8,"2016","Inner Richmond"
"194","2016 Inner Sunset",33,"2016","Inner Sunset"
"195","2016 Japantown",9,"2016","Japantown"
"196","2016 Lakeshore",42,"2016","Lakeshore"
"197","2016 Lone Mountain/USF",18,"2016","Lone Mountain/USF"
"198","2016 Marina",30,"2016","Marina"
"199","2016 McLaren Park",1,"2016","McLaren Park"
"200","2016 Mission",65,"2016","Mission"
"201","2016 Nob Hill",35,"2016","Nob Hill"
"202","2016 Noe Valley",16,"2016","Noe Valley"
"203","2016 North Beach",27,"2016","North Beach"
"204","2016 Oceanview/Merced/Ingleside",26,"2016","Oceanview/Merced/Ingleside"
"205","2016 Outer Mission",25,"2016","Outer Mission"
"206","2016 Outer Richmond",5,"2016","Outer Richmond"
"207","2016 Pacific Heights",23,"2016","Pacific Heights"
"208","2016 Portola",13,"2016","Portola"
"209","2016 Potrero Hill",9,"2016","Potrero Hill"
"210","2016 Presidio Heights",3,"2016","Presidio Heights"
"211","2016 Russian Hill",27,"2016","Russian Hill"
"212","2016 Seacliff",3,"2016","Seacliff"
"213","2016 South of Market",30,"2016","South of Market"
"214","2016 Sunset/Parkside",65,"2016","Sunset/Parkside"
"215","2016 Tenderloin",29,"2016","Tenderloin"
"216","2016 Twin Peaks",4,"2016","Twin Peaks"
"217","2016 Visitacion Valley",19,"2016","Visitacion Valley"
"218","2016 West of Twin Peaks",16,"2016","West of Twin Peaks"
"219","2016 Western Addition",16,"2016","Western Addition"
"220","2017 Bayview Hunters Point",52,"2017","Bayview Hunters Point"
"221","2017 Bernal Heights",19,"2017","Bernal Heights"
"222","2017 Castro/Upper Market",26,"2017","Castro/Upper Market"
"223","2017 Chinatown",3,"2017","Chinatown"
"224","2017 Excelsior",27,"2017","Excelsior"
"225","2017 Financial District/South Beach",1,"2017","Financial District/South Beach"
"226","2017 Glen Park",6,"2017","Glen Park"
"227","2017 Haight Ashbury",14,"2017","Haight Ashbury"
"228","2017 Hayes Valley",9,"2017","Hayes Valley"
"229","2017 Inner Richmond",21,"2017","Inner Richmond"
"230","2017 Inner Sunset",28,"2017","Inner Sunset"
"231","2017 Japantown",2,"2017","Japantown"
"232","2017 Lakeshore",44,"2017","Lakeshore"
"233","2017 Lone Mountain/USF",20,"2017","Lone Mountain/USF"
"234","2017 Marina",24,"2017","Marina"
"235","2017 Mission",53,"2017","Mission"
"236","2017 Nob Hill",22,"2017","Nob Hill"
"237","2017 Noe Valley",13,"2017","Noe Valley"
"238","2017 North Beach",6,"2017","North Beach"
"239","2017 Oceanview/Merced/Ingleside",25,"2017","Oceanview/Merced/Ingleside"
"240","2017 Outer Mission",28,"2017","Outer Mission"
"241","2017 Outer Richmond",4,"2017","Outer Richmond"
"242","2017 Pacific Heights",15,"2017","Pacific Heights"
"243","2017 Portola",10,"2017","Portola"
"244","2017 Potrero Hill",7,"2017","Potrero Hill"
"245","2017 Presidio Heights",9,"2017","Presidio Heights"
"246","2017 Russian Hill",17,"2017","Russian Hill"
"247","2017 South of Market",29,"2017","South of Market"
"248","2017 Sunset/Parkside",53,"2017","Sunset/Parkside"
"249","2017 Tenderloin",17,"2017","Tenderloin"
"250","2017 Treasure Island",1,"2017","Treasure Island"
"251","2017 Visitacion Valley",18,"2017","Visitacion Valley"
"252","2017 West of Twin Peaks",7,"2017","West of Twin Peaks"
"253","2017 Western Addition",16,"2017","Western Addition"
"254","2018 Bayview Hunters Point",45,"2018","Bayview Hunters Point"
"255","2018 Bernal Heights",16,"2018","Bernal Heights"
"256","2018 Castro/Upper Market",14,"2018","Castro/Upper Market"
"257","2018 Chinatown",4,"2018","Chinatown"
"258","2018 Excelsior",16,"2018","Excelsior"
"259","2018 Financial District/South Beach",2,"2018","Financial District/South Beach"
"260","2018 Glen Park",1,"2018","Glen Park"
"261","2018 Golden Gate Park",1,"2018","Golden Gate Park"
"262","2018 Haight Ashbury",10,"2018","Haight Ashbury"
"263","2018 Hayes Valley",9,"2018","Hayes Valley"
"264","2018 Inner Richmond",19,"2018","Inner Richmond"
"265","2018 Inner Sunset",18,"2018","Inner Sunset"
"266","2018 Lakeshore",75,"2018","Lakeshore"
"267","2018 Lone Mountain/USF",8,"2018","Lone Mountain/USF"
"268","2018 Marina",21,"2018","Marina"
"269","2018 Mission",51,"2018","Mission"
"270","2018 Nob Hill",37,"2018","Nob Hill"
"271","2018 Noe Valley",11,"2018","Noe Valley"
"272","2018 North Beach",12,"2018","North Beach"
"273","2018 Oceanview/Merced/Ingleside",20,"2018","Oceanview/Merced/Ingleside"
"274","2018 Outer Mission",25,"2018","Outer Mission"
"275","2018 Outer Richmond",9,"2018","Outer Richmond"
"276","2018 Pacific Heights",15,"2018","Pacific Heights"
"277","2018 Portola",3,"2018","Portola"
"278","2018 Potrero Hill",3,"2018","Potrero Hill"
"279","2018 Presidio Heights",1,"2018","Presidio Heights"
"280","2018 Russian Hill",12,"2018","Russian Hill"
"281","2018 Seacliff",1,"2018","Seacliff"
"282","2018 South of Market",26,"2018","South of Market"
"283","2018 Sunset/Parkside",57,"2018","Sunset/Parkside"
"284","2018 Tenderloin",63,"2018","Tenderloin"
"285","2018 Twin Peaks",5,"2018","Twin Peaks"
"286","2018 Visitacion Valley",15,"2018","Visitacion Valley"
"287","2018 West of Twin Peaks",7,"2018","West of Twin Peaks"
"288","2018 Western Addition",16,"2018","Western Addition"
"289","NA NA",40835,"NA","NA"
